GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_10,1,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07161694338040253
2,sim_10,2,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07161694338040253
3,sim_10,3,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07161694338040253
4,sim_10,4,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07161694338040253
5,sim_10,5,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.07161694338040253
6,sim_10,6,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07161694338040253
7,sim_10,7,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.07161694338040253
8,sim_10,8,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07161694338040253
9,sim_10,9,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.07161694338040253
10,sim_10,10,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07161694338040253
11,sim_10,11,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.07161694338040253
12,sim_10,12,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07161694338040253
13,sim_10,13,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07161694338040253
14,sim_10,14,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.07161694338040253
15,sim_10,15,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07161694338040253
16,sim_10,16,1back,2,4,1,1.0,0.0,1,0,0,3,4.85,4.6080000000000005,95.01030927835053,0.07161694338040253
17,sim_10,17,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,5.184,108.0,0.07161694338040253
18,sim_10,18,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.07161694338040253
19,sim_10,19,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.07161694338040253
20,sim_10,20,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,5.184,108.0,0.07161694338040253
