GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_8,1,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.09499057355510329
2,sim_8,2,2back,2,4,1,1.0,0.0,1,0,0,3,4.9,3.84,78.36734693877551,0.09499057355510329
3,sim_8,3,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.09499057355510329
4,sim_8,4,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.09499057355510329
5,sim_8,5,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.09499057355510329
6,sim_8,6,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.09499057355510329
7,sim_8,7,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.09499057355510329
8,sim_8,8,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.84,80.0,0.09499057355510329
9,sim_8,9,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.09499057355510329
10,sim_8,10,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,4.032,83.1340206185567,0.09499057355510329
11,sim_8,11,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.072,64.0,0.09499057355510329
12,sim_8,12,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.09499057355510329
13,sim_8,13,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.072,64.0,0.09499057355510329
14,sim_8,14,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.09499057355510329
15,sim_8,15,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.09499057355510329
16,sim_8,16,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.09499057355510329
17,sim_8,17,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.2640000000000002,67.29896907216497,0.09499057355510329
18,sim_8,18,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.09499057355510329
19,sim_8,19,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,4.032,84.00000000000001,0.09499057355510329
20,sim_8,20,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.456,71.25773195876289,0.09499057355510329
