GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_1,1,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07100705980467849
2,sim_1,2,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,5.184,108.0,0.07100705980467849
3,sim_1,3,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07100705980467849
4,sim_1,4,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07100705980467849
5,sim_1,5,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07100705980467849
6,sim_1,6,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07100705980467849
7,sim_1,7,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07100705980467849
8,sim_1,8,1back,2,4,1,0.75,0.0,0,1,0,3,4.8,4.224,88.00000000000001,0.07100705980467849
9,sim_1,9,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07100705980467849
10,sim_1,10,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.07100705980467849
11,sim_1,11,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07100705980467849
12,sim_1,12,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07100705980467849
13,sim_1,13,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.07100705980467849
14,sim_1,14,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07100705980467849
15,sim_1,15,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.07100705980467849
16,sim_1,16,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07100705980467849
17,sim_1,17,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.07100705980467849
18,sim_1,18,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.07100705980467849
19,sim_1,19,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,5.184,108.0,0.07100705980467849
20,sim_1,20,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.07100705980467849
