GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_6,1,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.077624590501987
2,sim_6,2,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.2640000000000002,68.0,0.077624590501987
3,sim_6,3,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.077624590501987
4,sim_6,4,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.077624590501987
5,sim_6,5,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.077624590501987
6,sim_6,6,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.456,72.0,0.077624590501987
7,sim_6,7,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.077624590501987
8,sim_6,8,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.077624590501987
9,sim_6,9,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.077624590501987
10,sim_6,10,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.456,72.0,0.077624590501987
11,sim_6,11,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.072,64.0,0.077624590501987
12,sim_6,12,2back,2,4,1,0.75,0.0,0,1,0,3,4.85,3.6480000000000006,75.21649484536084,0.077624590501987
13,sim_6,13,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.077624590501987
14,sim_6,14,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.6480000000000006,75.21649484536084,0.077624590501987
15,sim_6,15,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.077624590501987
16,sim_6,16,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.077624590501987
17,sim_6,17,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.077624590501987
18,sim_6,18,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.456,72.0,0.077624590501987
19,sim_6,19,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.6480000000000006,76.00000000000001,0.077624590501987
20,sim_6,20,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.077624590501987
