GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_4,1,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.0670341577837196
2,sim_4,2,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.0670341577837196
3,sim_4,3,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.0670341577837196
4,sim_4,4,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.0670341577837196
5,sim_4,5,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.0670341577837196
6,sim_4,6,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.0670341577837196
7,sim_4,7,1back,2,4,1,1.0,0.0,1,0,0,3,4.85,4.416000000000001,91.05154639175261,0.0670341577837196
8,sim_4,8,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.0670341577837196
9,sim_4,9,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.0670341577837196
10,sim_4,10,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.0670341577837196
11,sim_4,11,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.0670341577837196
12,sim_4,12,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.992,104.0,0.0670341577837196
13,sim_4,13,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.0670341577837196
14,sim_4,14,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.0670341577837196
15,sim_4,15,1back,2,4,1,1.0,0.0,1,0,0,3,4.85,4.416000000000001,91.05154639175261,0.0670341577837196
16,sim_4,16,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.8,100.0,0.0670341577837196
17,sim_4,17,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.0670341577837196
18,sim_4,18,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.0670341577837196
19,sim_4,19,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.416000000000001,92.00000000000003,0.0670341577837196
20,sim_4,20,1back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.6080000000000005,96.00000000000001,0.0670341577837196
