GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_2,1,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.10809133117205043
2,sim_2,2,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10809133117205043
3,sim_2,3,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10809133117205043
4,sim_2,4,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10809133117205043
5,sim_2,5,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10809133117205043
6,sim_2,6,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.84,80.0,0.10809133117205043
7,sim_2,7,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.224,88.00000000000001,0.10809133117205043
8,sim_2,8,2back,2,4,1,1.0,0.0,1,0,0,3,4.9,3.84,78.36734693877551,0.10809133117205043
9,sim_2,9,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10809133117205043
10,sim_2,10,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10809133117205043
11,sim_2,11,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.456,72.0,0.10809133117205043
12,sim_2,12,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10809133117205043
13,sim_2,13,2back,2,4,1,0.75,0.0,0,1,0,3,4.8,3.84,80.0,0.10809133117205043
14,sim_2,14,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.10809133117205043
15,sim_2,15,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.10809133117205043
16,sim_2,16,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.072,64.0,0.10809133117205043
17,sim_2,17,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.10809133117205043
18,sim_2,18,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.10809133117205043
19,sim_2,19,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,4.032,84.00000000000001,0.10809133117205043
20,sim_2,20,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,2.6880000000000006,55.42268041237115,0.10809133117205043
