GLOBAL_TRIAL_NUM,participant_id,trial_num,difficulty,nback_level,n_stimuli,n_targets,accuracy,missed_rate,hits,misses,false_alarms,correct_rejections,actual_duration_s,subjective_duration_s,so_ratio,participant_cv
1,sim_7,1,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.06551631595207678
2,sim_7,2,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.06551631595207678
3,sim_7,3,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.06551631595207678
4,sim_7,4,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.06551631595207678
5,sim_7,5,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.06551631595207678
6,sim_7,6,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.06551631595207678
7,sim_7,7,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,2.88,60.0,0.06551631595207678
8,sim_7,8,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.6480000000000006,76.00000000000001,0.06551631595207678
9,sim_7,9,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.6480000000000006,75.21649484536084,0.06551631595207678
10,sim_7,10,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.456,71.25773195876289,0.06551631595207678
11,sim_7,11,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.072,64.0,0.06551631595207678
12,sim_7,12,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.072,63.34020618556701,0.06551631595207678
13,sim_7,13,2back,2,4,1,1.0,0.0,1,0,0,3,4.9,3.2640000000000002,66.61224489795919,0.06551631595207678
14,sim_7,14,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.456,71.25773195876289,0.06551631595207678
15,sim_7,15,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.072,64.0,0.06551631595207678
16,sim_7,16,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.06551631595207678
17,sim_7,17,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.06551631595207678
18,sim_7,18,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.2640000000000002,68.0,0.06551631595207678
19,sim_7,19,2back,2,4,1,1.0,0.0,1,0,0,3,4.85,3.072,63.34020618556701,0.06551631595207678
20,sim_7,20,2back,2,4,1,1.0,0.0,1,0,0,3,4.8,3.456,72.0,0.06551631595207678
